发票代码,货物代码,货物名称,数量,单价,国家,日期
FP001,PROD001,无线蓝牙耳机,100,199.00,美国,2026-04-01
FP002,PROD001,无线蓝牙耳机,100,199.00,美国,2026-04-02
FP003,PROD001,无线蓝牙耳机,100,199.00,美国,2026-04-03
FP004,PROD001,无线蓝牙耳机,100,199.00,美国,2026-04-04
FP005,PROD002,智能手表,50,899.00,英国,2026-04-05
FP006,PROD002,智能手表,1,899.00,德国,2026-04-06
FP007,PROD003,移动电源,200,79.00,法国,2026-04-07
FP008,PROD003,移动电源,200,79.00,法国,2026-04-08
FP009,PROD004,手机壳,10,29.00,日本,2026-04-09
FP010,PROD005,充电器,1000,39.00,美国,2026-04-10
FP011,PROD001,无线蓝牙耳机,5,299.00,美国,2026-04-11
FP012,PROD002,智能手表,1,1399.00,英国,2026-04-12
FP013,PROD006,耳机套,500,19.00,加拿大,2026-04-13
FP014,PROD006,耳机套,500,19.00,加拿大,2026-04-14
FP015,PROD007,数据线,3,15.00,澳大利亚,2026-04-15
